CRM,CloudDrive,ERP,Expenses,HR1,HR2,ITOps,OTHER,Recruiting,Webmail,RemoteAccess
49,99,17,38,0,0,18,144,33,141,283
107,148,28,54,0,0,38,188,30,213,430
639,796,221,216,0,0,133,1175,297,579,732
653,767,203,191,0,0,139,1475,308,549,738
670,738,196,140,0,0,128,1111,305,678,781
562,672,218,173,0,0,110,994,313,843,663
547,537,148,174,0,0,81,977,252,588,631
51,108,8,40,0,0,13,362,27,148,235
120,176,18,66,0,0,26,413,62,191,298
622,655,189,319,0,0,114,2102,304,670,825
667,673,172,164,0,0,155,1112,241,708,732
545,577,154,145,302,0,138,627,238,539,616
620,705,207,192,952,0,121,336,311,625,624
520,470,172,147,730,0,108,210,215,469,593
51,61,6,28,121,0,8,26,21,108,133
98,138,20,40,83,0,15,40,24,193,248
633,737,191,212,743,0,115,358,292,831,623
619,812,203,148,717,0,238,485,442,654,629
577,724,204,158,675,0,152,305,2168,642,691
566,594,170,131,628,0,126,294,306,551,607
534,673,189,150,721,0,88,233,278,466,516
50,80,8,29,129,0,9,46,24,103,160
86,141,15,60,201,0,27,64,32,156,226
566,531,181,191,960,0,114,289,179,655,647
538,473,161,166,1068,99,90,348,197,582,627
251,239,60,78,243,280,66,160,85,311,405
238,213,59,84,163,397,53,307,55,321,351
133,110,28,39,174,92,16,106,34,170,232
35,39,6,13,56,39,9,53,7,56,90
74,135,23,56,124,80,13,82,34,149,183
740,768,246,256,706,843,147,598,323,648,626
711,654,250,190,483,564,197,512,299,607,571
632,665,213,192,497,613,158,559,316,601,650
594,594,218,169,287,546,145,315,297,582,622
532,572,222,188,209,595,152,322,262,607,615
30,56,27,22,56,30,7,48,42,104,148
101,142,49,68,63,81,14,82,40,205,247
744,799,201,286,308,745,152,380,337,664,720
690,775,236,261,281,675,163,449,327,636,683
673,662,328,228,281,601,113,417,314,619,694
720,729,226,184,215,739,204,414,327,754,723
553,705,193,188,129,666,86,371,293,715,721
27,45,8,33,37,63,10,24,21,106,208
124,161,18,46,32,139,44,63,41,304,329
663,794,210,280,159,747,139,496,390,632,801
756,777,232,174,114,525,178,479,378,736,859
703,749,168,154,129,407,136,363,275,611,851
672,762,205,222,83,483,162,411,312,821,799
676,774,250,189,107,480,143,398,318,638,724
64,75,10,30,21,35,29,55,28,123,262
131,152,21,71,12,84,15,65,56,296,435
909,939,291,292,173,666,298,607,354,904,938
936,872,292,407,170,655,251,1653,368,760,897
857,854,277,241,108,534,209,727,367,804,828
766,753,242,337,192,585,172,743,268,690,774
796,730,287,475,213,806,159,1086,247,646,669
60,75,30,53,27,105,19,205,11,150,210
117,177,31,67,33,110,28,200,41,232,296
720,781,261,267,209,795,154,793,422,729,789
702,723,220,168,202,668,123,490,238,636,853
630,692,244,136,149,538,201,436,247,659,784
624,809,214,132,218,547,170,492,288,727,775
493,611,184,144,44,477,108,446,206,536,679
44,104,13,21,24,65,6,56,33,218,181
105,141,23,23,22,86,14,73,43,195,304
680,853,212,189,136,677,137,478,200,706,728
747,864,232,194,76,539,164,399,198,725,902
703,844,184,225,93,504,182,393,282,725,807
666,728,212,194,46,539,155,437,281,601,745
638,663,171,205,151,710,136,473,276,638,688
59,118,11,31,23,87,25,57,26,198,235
136,179,22,65,39,123,27,100,40,463,349
721,861,244,238,117,667,169,434,240,822,845
712,822,219,198,66,576,174,450,233,716,855
746,775,199,163,99,504,142,378,226,680,953
722,734,179,189,80,514,146,389,302,779,835
538,569,155,174,78,465,141,322,193,645,846
43,104,20,36,26,65,28,91,19,144,330
132,205,28,47,15,85,28,139,53,242,382
794,929,215,259,97,645,146,421,312,733,814
797,857,200,182,67,549,141,544,270,726,797
695,751,187,173,106,486,158,639,293,631,738
762,726,184,179,63,495,138,410,266,746,1003
659,753,157,172,67,580,121,377,240,819,738
51,101,10,47,47,217,21,66,37,136,287
124,159,16,72,25,186,25,124,39,272,403
770,856,212,278,116,832,153,424,285,717,805
699,883,209,191,121,649,134,424,273,644,774
738,773,227,171,104,492,111,384,306,730,859
749,824,188,146,98,442,120,305,645,717,898
479,486,132,108,23,313,81,213,142,404,575
